year,model,n_snapshots,n_matches,rmse,r2,mae
2022,XGBoost,329,7,49.0607,0.6339,35.4278
2022,LightGBM,329,7,48.6784,0.6396,34.2558
2022,CatBoost,329,7,48.8138,0.6376,36.7097
2022,DLS,329,7,71.2005,0.2289,48.1993
2023,XGBoost,10195,217,46.1841,0.6011,33.9803
2023,LightGBM,10195,217,45.4777,0.6132,33.3378
2023,CatBoost,10195,217,45.7163,0.6091,33.4178
2023,DLS,10195,217,71.3378,0.0482,49.4333
2024,XGBoost,6108,133,41.3992,0.5882,31.7862
2024,LightGBM,6108,133,41.4267,0.5876,31.7547
2024,CatBoost,6108,133,41.346,0.5892,31.8093
2024,DLS,6108,133,55.6974,0.2546,38.7705
2025,XGBoost,8460,179,42.9432,0.5865,32.0853
2025,LightGBM,8460,179,42.6792,0.5915,31.6344
2025,CatBoost,8460,179,42.1685,0.6012,31.117
2025,DLS,8460,179,62.4076,0.1266,43.1381
2026,XGBoost,300,6,46.9578,-0.0929,34.4005
2026,LightGBM,300,6,46.9251,-0.0914,34.207
2026,CatBoost,300,6,45.7454,-0.0372,32.0137
2026,DLS,300,6,79.9816,-2.1707,53.9718
