match_id,date,team1,team2,winner,first_innings_total,dls_target,dls_overs,inn2_score_at_end,inn2_overs_bowled,inn2_wickets_at_end,current_score,ml_predicted_score,ml_target,dls_win_prediction,ml_win_prediction,actual_team2_won,target_diff
1022353,2017-06-04,India,Pakistan,India,319.0,289.0,41,164,34,9,164,215.5,216,0,0,0.0,-73.0
1022359,2017-06-07,Pakistan,South Africa,Pakistan,219.0,101.0,27,119,27,3,119,168.3,169,1,0,0.0,68.0
1022365,2017-06-10,England,Australia,England,277.0,201.0,40,240,41,4,240,280.2,281,1,0,0.0,80.0
1026851,2016-11-08,Hong Kong,Papua New Guinea,Hong Kong,244.0,178.0,38,181,34,3,181,238.1,239,1,0,0.0,61.0
1031673,2017-09-27,West Indies,England,England,356.0,253.0,35,258,36,5,258,278.2,279,1,0,1.0,26.0
1043955,2016-11-20,Australia,South Africa,Australia,278.0,186.0,31,119,32,5,119,166.8,167,0,0,0.0,-19.0
1050223,2016-09-30,Pakistan,West Indies,Pakistan,284.0,287.0,49,175,39,10,175,205.8,206,0,0,0.0,-81.0
1050607,2016-11-11,New Zealand,Pakistan,New Zealand,309.0,203.0,34,142,35,4,142,187.7,188,0,0,0.0,-15.0
1059715,2016-11-25,Zimbabwe,West Indies,Zimbabwe,218.0,130.0,27,124,28,5,124,186.2,187,0,0,0.0,57.0
1073428,2017-02-19,Sri Lanka,Bangladesh,Sri Lanka,197.0,111.0,21,68,21,5,68,110.7,111,0,0,0.0,0.0
1073429,2017-02-19,Ireland,South Africa,South Africa,166.0,47.0,21,82,21,1,82,163.2,164,1,0,1.0,117.0
1085949,2017-06-27,England,Pakistan,England,377.0,215.0,29,107,30,3,107,169.2,170,0,0,0.0,-45.0
1085965,2017-07-11,Pakistan,West Indies,West Indies,285.0,137.0,24,117,24,3,117,197.1,198,0,0,1.0,61.0
1086064,2017-10-26,Australia,England,Australia,296.0,285.0,46,209,43,10,209,230.7,231,0,0,0.0,-54.0
1089419,2017-06-15,Scotland,Zimbabwe,Scotland,317.0,299.0,43,272,42,10,272,295.9,296,0,0,0.0,-3.0
1104481,2017-07-08,Sri Lanka,Zimbabwe,Zimbabwe,300.0,219.0,31,219,30,6,219,286.2,287,1,0,1.0,68.0
1109606,2017-08-24,Sri Lanka,India,India,236.0,231.0,47,231,45,7,231,240.5,241,1,0,1.0,10.0
1115797,2017-12-26,New Zealand,West Indies,New Zealand,131.0,166.0,23,99,23,9,99,162.4,163,0,0,0.0,-3.0
1115802,2018-01-06,New Zealand,Pakistan,New Zealand,315.0,228.0,30,166,31,6,166,221.7,222,0,0,0.0,-6.0
1115803,2018-01-09,Pakistan,New Zealand,New Zealand,246.0,151.0,25,151,24,2,151,229.0,230,1,0,1.0,79.0
1119496,2017-09-17,India,Australia,India,281.0,164.0,21,137,21,9,137,219.2,220,0,0,0.0,56.0
1122282,2018-02-10,India,South Africa,South Africa,289.0,202.0,28,207,26,5,207,280.7,281,1,0,1.0,79.0
1133015,2018-03-12,Ireland,United Arab Emirates,Ireland,313.0,318.0,44,91,30,10,91,146.2,147,0,0,0.0,-171.0
