team,tier,tier_label,board_revenue,CatBoost_V2,DLS,LightGBM_V2,best_ml_rmse,dls_advantage,relative_error
Australia,1,"Tier 1
(Major)",180,46.41,67.29,46.36,46.36,20.930000000000007,31.104175954822416
Bangladesh,3,"Tier 3
(Small)",15,37.07,55.9,37.73,37.07,18.83,33.68515205724508
England,1,"Tier 1
(Major)",200,46.2,73.88,46.65,46.2,27.679999999999993,37.46616134271791
India,1,"Tier 1
(Major)",1700,43.22,66.78,43.32,43.22,23.560000000000002,35.28002395926924
Ireland,3,"Tier 3
(Small)",7,37.57,57.55,38.92,37.57,19.979999999999997,34.71763683753258
New Zealand,2,"Tier 2
(Mid)",35,44.41,68.89,43.44,43.44,25.450000000000003,36.942952533023664
Scotland,4,"Tier 4
(Assoc)",2,44.28,69.81,44.19,44.19,25.620000000000005,36.699613235926094
South Africa,2,"Tier 2
(Mid)",40,58.43,79.11,56.91,56.91,22.200000000000003,28.062191884717485
Sri Lanka,2,"Tier 2
(Mid)",25,37.5,54.45,36.98,36.98,17.470000000000006,32.08448117539028
United Arab Emirates,4,"Tier 4
(Assoc)",2,43.78,51.33,44.95,43.78,7.549999999999997,14.708747321254624
