Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Early (1-10),101.47,78.12,-0.876,34.29,4.54,9.45,18.34,5420
XGBoost,Early (1-10),66.37,52.85,0.1973,25.92,6.83,13.45,24.67,5420
RandomForest,Early (1-10),66.05,52.46,0.2051,26.31,7.21,13.51,25.11,5420
LightGBM,Early (1-10),66.35,52.9,0.1979,25.84,6.66,13.12,24.37,5420
DLS,Middle (11-30),56.56,43.32,0.4011,18.48,9.11,17.57,32.71,10757
XGBoost,Middle (11-30),47.7,37.58,0.5741,17.61,8.68,17.99,34.15,10757
RandomForest,Middle (11-30),47.86,37.68,0.5712,17.9,9.17,18.02,34.26,10757
LightGBM,Middle (11-30),47.76,37.59,0.5731,17.6,8.76,18.27,34.61,10757
DLS,Late (31-40),29.56,22.78,0.8033,9.2,14.93,29.95,55.06,4991
XGBoost,Late (31-40),28.68,22.62,0.8149,9.5,14.15,27.11,52.82,4991
RandomForest,Late (31-40),28.89,22.9,0.8122,9.7,13.46,26.91,52.09,4991
LightGBM,Late (31-40),28.51,22.5,0.8171,9.4,13.6,27.19,53.08,4991
DLS,Death (41-50),14.28,10.05,0.9426,3.8,37.14,63.19,86.2,4224
XGBoost,Death (41-50),14.24,10.4,0.9429,3.97,34.87,60.77,85.94,4224
RandomForest,Death (41-50),14.71,10.99,0.939,4.2,32.17,57.67,85.06,4224
LightGBM,Death (41-50),14.09,10.28,0.9441,3.93,35.32,60.89,86.15,4224
