Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Powerplay (1-6),52.85,41.25,-0.4641,30.18,8.06,15.84,32.75,3536
XGBoost,Powerplay (1-6),34.63,26.86,0.3713,21.55,12.3,24.43,47.26,3536
RandomForest,Powerplay (1-6),34.78,26.97,0.3658,21.76,11.99,24.43,47.0,3536
LightGBM,Powerplay (1-6),34.66,26.85,0.3704,21.54,12.64,24.24,47.6,3536
DLS,Middle (7-12),27.66,21.64,0.5858,15.3,15.92,29.73,55.61,3505
XGBoost,Middle (7-12),23.29,18.1,0.7062,13.51,18.2,35.72,63.37,3505
RandomForest,Middle (7-12),23.4,18.16,0.7034,13.64,18.6,36.09,63.31,3505
LightGBM,Middle (7-12),23.4,18.18,0.7035,13.56,17.55,34.95,63.37,3505
DLS,Late (13-16),16.71,12.96,0.8401,8.88,26.34,49.04,77.83,2282
XGBoost,Late (13-16),15.16,11.82,0.8684,8.32,27.65,51.8,82.43,2282
RandomForest,Late (13-16),15.24,11.97,0.8671,8.48,26.69,50.22,82.03,2282
LightGBM,Late (13-16),15.15,11.8,0.8687,8.34,27.34,51.53,83.04,2282
DLS,Death (17-20),7.28,4.83,0.9673,3.25,62.21,85.2,97.66,2175
XGBoost,Death (17-20),7.4,5.38,0.9661,3.67,60.74,83.36,98.07,2175
RandomForest,Death (17-20),7.18,5.13,0.9681,3.51,60.55,84.0,98.3,2175
LightGBM,Death (17-20),7.42,5.42,0.9659,3.68,58.44,82.94,98.16,2175
