Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,0-2 wickets,43.2,31.54,-0.026,21.9,12.97,24.19,46.33,5374
XGBoost,0-2 wickets,30.81,23.35,0.4782,17.06,15.15,29.75,54.11,5374
RandomForest,0-2 wickets,30.91,23.37,0.4748,17.16,15.2,30.16,54.32,5374
LightGBM,0-2 wickets,30.87,23.39,0.4761,17.08,15.07,29.16,54.26,5374
DLS,3-5 wickets,26.6,18.29,0.5554,13.5,25.83,44.67,67.0,4088
XGBoost,3-5 wickets,18.59,13.66,0.7828,10.81,28.3,49.78,76.83,4088
RandomForest,3-5 wickets,18.7,13.71,0.7803,10.93,28.23,49.85,76.32,4088
LightGBM,3-5 wickets,18.61,13.67,0.7823,10.85,27.35,49.27,77.08,4088
DLS,6-8 wickets,14.95,9.69,0.8556,8.14,46.01,66.69,85.12,1693
XGBoost,6-8 wickets,12.34,8.44,0.9016,7.71,47.96,69.4,89.9,1693
RandomForest,6-8 wickets,12.36,8.43,0.9013,7.76,47.31,67.75,89.84,1693
LightGBM,6-8 wickets,12.32,8.43,0.902,7.7,46.66,69.52,90.43,1693
DLS,9 wickets,7.07,4.0,0.964,3.56,72.27,89.09,97.27,220
XGBoost,9 wickets,7.55,5.16,0.9589,5.18,65.0,85.0,96.82,220
RandomForest,9 wickets,7.93,5.0,0.9548,5.14,65.0,84.55,95.45,220
LightGBM,9 wickets,7.6,5.11,0.9584,5.09,63.64,85.91,97.27,220
