Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Early (1-10),86.76,68.89,-0.3987,31.14,4.22,9.51,17.84,1020
XGBoost,Early (1-10),65.75,51.17,0.1967,24.49,7.25,12.94,27.06,1020
RandomForest,Early (1-10),65.75,51.14,0.1965,24.37,6.86,13.43,27.65,1020
LightGBM,Early (1-10),65.94,51.14,0.192,24.29,6.18,13.14,29.12,1020
DLS,Middle (11-30),54.71,42.02,0.4257,18.19,10.49,18.36,33.0,2021
XGBoost,Middle (11-30),46.29,36.45,0.589,16.85,10.19,19.84,36.17,2021
RandomForest,Middle (11-30),46.59,36.85,0.5836,16.67,9.15,18.06,33.6,2021
LightGBM,Middle (11-30),46.7,36.67,0.5817,16.53,10.29,20.19,35.48,2021
DLS,Late (31-40),29.68,22.73,0.8094,9.4,14.62,30.28,55.52,951
XGBoost,Late (31-40),29.69,23.67,0.8093,10.14,12.93,28.29,49.84,951
RandomForest,Late (31-40),29.26,23.32,0.8148,10.04,12.3,28.08,50.68,951
LightGBM,Late (31-40),30.32,23.93,0.8011,10.12,13.88,27.55,50.16,951
DLS,Death (41-50),14.65,10.1,0.9443,4.02,40.8,62.2,84.48,799
XGBoost,Death (41-50),16.88,12.55,0.9261,4.91,28.91,52.44,79.97,799
RandomForest,Death (41-50),15.9,12.06,0.9345,4.78,25.28,54.69,81.98,799
LightGBM,Death (41-50),18.96,13.32,0.9068,5.06,27.28,52.07,81.48,799
