Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,0-2 wickets,65.44,48.66,0.1598,20.51,8.84,16.82,30.0,2330
XGBoost,0-2 wickets,53.45,40.27,0.4395,17.49,9.96,18.5,35.71,2330
RandomForest,0-2 wickets,53.45,40.39,0.4394,17.47,8.71,17.81,34.21,2330
LightGBM,0-2 wickets,53.94,40.75,0.4291,17.54,8.84,18.54,35.24,2330
DLS,3-5 wickets,49.76,34.67,0.3891,15.62,16.52,26.95,46.65,1640
XGBoost,3-5 wickets,38.65,29.04,0.6315,13.68,12.87,27.8,47.74,1640
RandomForest,3-5 wickets,38.8,29.05,0.6285,13.62,12.56,27.68,48.05,1640
LightGBM,3-5 wickets,39.46,29.39,0.6157,13.53,14.21,27.56,48.9,1640
DLS,6-8 wickets,31.59,20.22,0.7796,9.91,25.5,43.52,66.71,694
XGBoost,6-8 wickets,30.79,21.88,0.7907,11.78,21.61,39.77,58.93,694
RandomForest,6-8 wickets,30.5,21.49,0.7946,11.1,20.75,40.78,60.37,694
LightGBM,6-8 wickets,30.15,21.3,0.7994,11.02,22.77,39.19,60.95,694
DLS,9 wickets,6.62,4.76,0.9867,2.93,58.33,91.67,97.62,84
XGBoost,9 wickets,17.68,13.22,0.9052,9.49,33.33,48.81,78.57,84
RandomForest,9 wickets,17.03,13.09,0.9121,8.63,19.05,48.81,76.19,84
LightGBM,9 wickets,16.9,13.2,0.9134,8.9,21.43,51.19,77.38,84
