Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,Powerplay (1-6),44.12,34.54,-0.0611,31.84,9.45,18.29,36.15,2116
XGBoost,Powerplay (1-6),32.56,25.56,0.4222,27.1,12.85,25.33,47.12,2116
RandomForest,Powerplay (1-6),32.53,25.52,0.423,27.52,13.04,25.33,47.02,2116
LightGBM,Powerplay (1-6),32.66,25.67,0.4185,27.43,13.0,24.39,46.69,2116
DLS,Middle (7-12),24.62,18.94,0.6616,16.53,18.73,34.48,62.31,2088
XGBoost,Middle (7-12),20.52,15.63,0.7651,15.14,21.93,40.71,70.21,2088
RandomForest,Middle (7-12),20.55,15.62,0.7642,15.45,21.26,40.61,70.98,2088
LightGBM,Middle (7-12),20.61,15.74,0.7628,15.47,21.31,39.89,70.69,2088
DLS,Late (13-16),13.5,10.24,0.8911,8.5,34.92,58.38,88.09,1343
XGBoost,Late (13-16),12.19,9.56,0.9112,8.5,33.28,61.21,91.14,1343
RandomForest,Late (13-16),12.22,9.58,0.9109,8.66,32.24,60.16,90.77,1343
LightGBM,Late (13-16),12.29,9.63,0.9097,8.65,32.84,59.72,91.29,1343
DLS,Death (17-20),5.54,3.58,0.9802,2.95,73.47,91.92,99.29,1274
XGBoost,Death (17-20),6.03,4.35,0.9766,3.65,68.92,91.05,98.82,1274
RandomForest,Death (17-20),5.78,4.42,0.9785,3.81,68.13,91.99,99.53,1274
LightGBM,Death (17-20),5.89,4.3,0.9776,3.68,69.23,91.21,99.06,1274
