Model,Subset,RMSE,MAE,R2,MAPE,Within_5,Within_10,Within_20,N
DLS,0-2 wickets,35.23,25.66,0.3129,22.11,16.57,29.72,52.6,3610
XGBoost,0-2 wickets,27.31,20.27,0.5872,19.27,18.28,35.73,60.64,3610
RandomForest,0-2 wickets,27.28,20.2,0.588,19.48,18.37,35.73,60.86,3610
LightGBM,0-2 wickets,27.36,20.29,0.5855,19.4,19.28,35.24,60.42,3610
DLS,3-5 wickets,21.67,14.25,0.6642,13.37,34.77,54.22,76.87,2252
XGBoost,3-5 wickets,16.02,11.36,0.8165,12.09,36.55,58.66,82.46,2252
RandomForest,3-5 wickets,15.95,11.34,0.8181,12.21,36.06,58.88,82.99,2252
LightGBM,3-5 wickets,16.12,11.45,0.8141,12.32,35.44,57.68,83.04,2252
DLS,6-8 wickets,12.59,7.21,0.8568,8.19,58.92,76.75,91.15,757
XGBoost,6-8 wickets,10.59,6.82,0.8986,8.5,58.52,78.07,93.26,757
RandomForest,6-8 wickets,10.91,7.13,0.8924,9.25,56.27,77.54,92.73,757
LightGBM,6-8 wickets,10.86,7.01,0.8935,9.06,56.54,76.35,93.39,757
DLS,9 wickets,9.2,4.44,0.9099,5.62,77.86,89.29,94.29,140
XGBoost,9 wickets,8.33,5.7,0.926,8.18,65.0,82.14,95.0,140
RandomForest,9 wickets,8.89,6.17,0.9157,9.6,62.14,81.43,97.14,140
LightGBM,9 wickets,8.79,5.96,0.9177,8.98,61.43,82.14,95.0,140
